codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017009,Bagnolo Mella,2020,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2020,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2020,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2020,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2020,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2020,Totale,Italiani,,,,riservato
017009,Bagnolo Mella,2020,Totale,Stranieri,,,,riservato
017009,Bagnolo Mella,2020,Totale,Totale,,,,riservato
017009,Bagnolo Mella,2021,Es. Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2021,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2021,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2021,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2021,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2021,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2021,Totale,Italiani,,,,riservato
017009,Bagnolo Mella,2021,Totale,Stranieri,,,,riservato
017009,Bagnolo Mella,2021,Totale,Totale,,,,riservato
017009,Bagnolo Mella,2022,Es. Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2022,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2022,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2022,Totale,Italiani,,,,riservato
017009,Bagnolo Mella,2022,Totale,Stranieri,,,,riservato
017009,Bagnolo Mella,2022,Totale,Totale,,,,riservato
017009,Bagnolo Mella,2023,Es. Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2023,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2023,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2023,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2023,Totale,Italiani,209,495,2.40,osservato
017009,Bagnolo Mella,2023,Totale,Stranieri,55,181,3.30,osservato
017009,Bagnolo Mella,2023,Totale,Totale,264,676,2.60,osservato
017009,Bagnolo Mella,2024,Es. Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2024,Es. Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2024,Es. Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017009,Bagnolo Mella,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017009,Bagnolo Mella,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017009,Bagnolo Mella,2024,Totale,Italiani,256,806,3.15,osservato
017009,Bagnolo Mella,2024,Totale,Stranieri,56,319,5.70,osservato
017009,Bagnolo Mella,2024,Totale,Totale,312,1125,3.61,osservato
017010,Bagolino,2019,Es. Alberghieri,Italiani,1137,2247,2.00,osservato
017010,Bagolino,2019,Es. Alberghieri,Stranieri,499,936,1.90,osservato
017010,Bagolino,2019,Es. Alberghieri,Totale,1636,3183,1.90,osservato
