codice_provincia,provincia,regione,ambito,anno,trimestre,comparto,segmento,ntn,stato
001,Torino,Piemonte,resto_provincia,2011,4,residenziale,totale,4894.12,definitivo
001,Torino,Piemonte,resto_provincia,2012,1,pertinenze,box,2381.00,definitivo
001,Torino,Piemonte,resto_provincia,2012,1,pertinenze,depositi_pertinenziali,248.28,definitivo
001,Torino,Piemonte,resto_provincia,2012,1,residenziale,totale,3040.96,definitivo
001,Torino,Piemonte,resto_provincia,2012,2,pertinenze,box,2671.18,definitivo
001,Torino,Piemonte,resto_provincia,2012,2,pertinenze,depositi_pertinenziali,236.76,definitivo
001,Torino,Piemonte,resto_provincia,2012,2,residenziale,totale,3412.86,definitivo
001,Torino,Piemonte,resto_provincia,2012,3,pertinenze,box,2070.85,definitivo
001,Torino,Piemonte,resto_provincia,2012,3,pertinenze,depositi_pertinenziali,139.51,definitivo
001,Torino,Piemonte,resto_provincia,2012,3,residenziale,totale,2707.64,definitivo
001,Torino,Piemonte,resto_provincia,2012,4,pertinenze,box,2846.17,definitivo
001,Torino,Piemonte,resto_provincia,2012,4,pertinenze,depositi_pertinenziali,217.78,definitivo
001,Torino,Piemonte,resto_provincia,2012,4,residenziale,totale,3407.72,definitivo
001,Torino,Piemonte,resto_provincia,2013,1,pertinenze,box,2037.47,definitivo
001,Torino,Piemonte,resto_provincia,2013,1,pertinenze,depositi_pertinenziali,161.80,definitivo
001,Torino,Piemonte,resto_provincia,2013,1,residenziale,totale,2547.84,definitivo
001,Torino,Piemonte,resto_provincia,2013,2,pertinenze,box,2543.83,definitivo
001,Torino,Piemonte,resto_provincia,2013,2,pertinenze,depositi_pertinenziali,210.11,definitivo
001,Torino,Piemonte,resto_provincia,2013,2,residenziale,totale,3230.07,definitivo
001,Torino,Piemonte,resto_provincia,2013,3,pertinenze,box,1912.72,definitivo
001,Torino,Piemonte,resto_provincia,2013,3,pertinenze,depositi_pertinenziali,169.60,definitivo
001,Torino,Piemonte,resto_provincia,2013,3,residenziale,totale,2534.29,definitivo
001,Torino,Piemonte,resto_provincia,2013,4,pertinenze,box,2582.76,definitivo
001,Torino,Piemonte,resto_provincia,2013,4,pertinenze,depositi_pertinenziali,257.77,definitivo
001,Torino,Piemonte,resto_provincia,2013,4,residenziale,totale,3059.03,definitivo
001,Torino,Piemonte,resto_provincia,2014,1,pertinenze,box,2023.49,definitivo
001,Torino,Piemonte,resto_provincia,2014,1,pertinenze,depositi_pertinenziali,192.23,definitivo
001,Torino,Piemonte,resto_provincia,2014,1,residenziale,totale,2705.67,definitivo
001,Torino,Piemonte,resto_provincia,2014,2,pertinenze,box,2498.42,definitivo
001,Torino,Piemonte,resto_provincia,2014,2,pertinenze,depositi_pertinenziali,216.63,definitivo
001,Torino,Piemonte,resto_provincia,2014,2,residenziale,totale,3186.61,definitivo
001,Torino,Piemonte,resto_provincia,2014,3,pertinenze,box,1865.02,definitivo
001,Torino,Piemonte,resto_provincia,2014,3,pertinenze,depositi_pertinenziali,163.41,definitivo
001,Torino,Piemonte,resto_provincia,2014,3,residenziale,totale,2486.04,definitivo
001,Torino,Piemonte,resto_provincia,2014,4,pertinenze,box,2640.73,definitivo
001,Torino,Piemonte,resto_provincia,2014,4,pertinenze,depositi_pertinenziali,214.11,definitivo
001,Torino,Piemonte,resto_provincia,2014,4,residenziale,totale,3299.93,definitivo
001,Torino,Piemonte,resto_provincia,2015,1,pertinenze,box,1935.49,definitivo
001,Torino,Piemonte,resto_provincia,2015,1,pertinenze,depositi_pertinenziali,147.98,definitivo
001,Torino,Piemonte,resto_provincia,2015,1,residenziale,totale,2523.80,definitivo
001,Torino,Piemonte,resto_provincia,2015,2,pertinenze,box,2545.49,definitivo
001,Torino,Piemonte,resto_provincia,2015,2,pertinenze,depositi_pertinenziali,193.55,definitivo
001,Torino,Piemonte,resto_provincia,2015,2,residenziale,totale,3272.45,definitivo
001,Torino,Piemonte,resto_provincia,2015,3,pertinenze,box,2174.05,definitivo
001,Torino,Piemonte,resto_provincia,2015,3,pertinenze,depositi_pertinenziali,188.58,definitivo
001,Torino,Piemonte,resto_provincia,2015,3,residenziale,totale,2846.75,definitivo
001,Torino,Piemonte,resto_provincia,2015,4,pertinenze,box,2803.69,definitivo
001,Torino,Piemonte,resto_provincia,2015,4,pertinenze,depositi_pertinenziali,271.23,definitivo
001,Torino,Piemonte,resto_provincia,2015,4,residenziale,totale,3752.38,definitivo
001,Torino,Piemonte,resto_provincia,2016,1,pertinenze,box,2298.54,definitivo
001,Torino,Piemonte,resto_provincia,2016,1,pertinenze,depositi_pertinenziali,210.91,definitivo
001,Torino,Piemonte,resto_provincia,2016,1,residenziale,totale,3099.87,definitivo
001,Torino,Piemonte,resto_provincia,2016,2,pertinenze,box,2993.30,definitivo
001,Torino,Piemonte,resto_provincia,2016,2,pertinenze,depositi_pertinenziali,266.22,definitivo
001,Torino,Piemonte,resto_provincia,2016,2,residenziale,totale,4098.43,definitivo
001,Torino,Piemonte,resto_provincia,2016,3,pertinenze,box,2554.49,definitivo
001,Torino,Piemonte,resto_provincia,2016,3,pertinenze,depositi_pertinenziali,253.35,definitivo
001,Torino,Piemonte,resto_provincia,2016,3,residenziale,totale,3509.13,definitivo
001,Torino,Piemonte,resto_provincia,2016,4,pertinenze,box,3386.34,definitivo
001,Torino,Piemonte,resto_provincia,2016,4,pertinenze,depositi_pertinenziali,422.78,definitivo
001,Torino,Piemonte,resto_provincia,2016,4,residenziale,totale,4479.16,definitivo
001,Torino,Piemonte,resto_provincia,2017,1,pertinenze,box,2540.90,definitivo
001,Torino,Piemonte,resto_provincia,2017,1,pertinenze,depositi_pertinenziali,262.33,definitivo
001,Torino,Piemonte,resto_provincia,2017,1,residenziale,totale,3342.40,definitivo
001,Torino,Piemonte,resto_provincia,2017,2,pertinenze,box,3060.45,definitivo
001,Torino,Piemonte,resto_provincia,2017,2,pertinenze,depositi_pertinenziali,346.83,definitivo
001,Torino,Piemonte,resto_provincia,2017,2,residenziale,totale,4248.75,definitivo
001,Torino,Piemonte,resto_provincia,2017,3,pertinenze,box,2524.75,definitivo
001,Torino,Piemonte,resto_provincia,2017,3,pertinenze,depositi_pertinenziali,401.20,definitivo
001,Torino,Piemonte,resto_provincia,2017,3,residenziale,totale,3514.72,definitivo
001,Torino,Piemonte,resto_provincia,2017,4,pertinenze,box,3561.42,definitivo
001,Torino,Piemonte,resto_provincia,2017,4,pertinenze,depositi_pertinenziali,630.36,definitivo
001,Torino,Piemonte,resto_provincia,2017,4,residenziale,totale,4656.84,definitivo
001,Torino,Piemonte,resto_provincia,2018,1,pertinenze,box,2658.49,definitivo
001,Torino,Piemonte,resto_provincia,2018,1,pertinenze,depositi_pertinenziali,309.91,definitivo
001,Torino,Piemonte,resto_provincia,2018,1,residenziale,totale,3530.36,definitivo
001,Torino,Piemonte,resto_provincia,2018,2,pertinenze,box,3266.87,definitivo
001,Torino,Piemonte,resto_provincia,2018,2,pertinenze,depositi_pertinenziali,419.88,definitivo
001,Torino,Piemonte,resto_provincia,2018,2,residenziale,totale,4485.88,definitivo
001,Torino,Piemonte,resto_provincia,2018,3,pertinenze,box,2665.97,definitivo
001,Torino,Piemonte,resto_provincia,2018,3,pertinenze,depositi_pertinenziali,444.82,definitivo
001,Torino,Piemonte,resto_provincia,2018,3,residenziale,totale,3677.41,definitivo
001,Torino,Piemonte,resto_provincia,2018,4,pertinenze,box,3802.10,definitivo
001,Torino,Piemonte,resto_provincia,2018,4,pertinenze,depositi_pertinenziali,635.53,definitivo
001,Torino,Piemonte,resto_provincia,2018,4,residenziale,totale,4988.42,definitivo
001,Torino,Piemonte,resto_provincia,2019,1,pertinenze,box,2662.38,definitivo
001,Torino,Piemonte,resto_provincia,2019,1,pertinenze,depositi_pertinenziali,363.28,definitivo
001,Torino,Piemonte,resto_provincia,2019,1,residenziale,totale,3681.85,definitivo
001,Torino,Piemonte,resto_provincia,2019,2,pertinenze,box,3353.17,definitivo
001,Torino,Piemonte,resto_provincia,2019,2,pertinenze,depositi_pertinenziali,448.85,definitivo
001,Torino,Piemonte,resto_provincia,2019,2,residenziale,totale,4706.47,definitivo
001,Torino,Piemonte,resto_provincia,2019,3,pertinenze,box,2768.69,definitivo
001,Torino,Piemonte,resto_provincia,2019,3,pertinenze,depositi_pertinenziali,396.37,definitivo
001,Torino,Piemonte,resto_provincia,2019,3,residenziale,totale,3833.14,definitivo
001,Torino,Piemonte,resto_provincia,2019,4,pertinenze,box,3555.69,definitivo
001,Torino,Piemonte,resto_provincia,2019,4,pertinenze,depositi_pertinenziali,468.16,definitivo
001,Torino,Piemonte,resto_provincia,2019,4,residenziale,totale,4780.47,definitivo
001,Torino,Piemonte,resto_provincia,2020,1,pertinenze,box,2413.26,definitivo
001,Torino,Piemonte,resto_provincia,2020,1,pertinenze,depositi_pertinenziali,335.92,definitivo
001,Torino,Piemonte,resto_provincia,2020,1,residenziale,totale,3371.56,definitivo
001,Torino,Piemonte,resto_provincia,2020,2,pertinenze,box,2366.95,definitivo
001,Torino,Piemonte,resto_provincia,2020,2,pertinenze,depositi_pertinenziali,321.92,definitivo
001,Torino,Piemonte,resto_provincia,2020,2,residenziale,totale,3365.60,definitivo
001,Torino,Piemonte,resto_provincia,2020,3,pertinenze,box,2856.04,definitivo
001,Torino,Piemonte,resto_provincia,2020,3,pertinenze,depositi_pertinenziali,680.76,definitivo
001,Torino,Piemonte,resto_provincia,2020,3,residenziale,totale,3980.10,definitivo
001,Torino,Piemonte,resto_provincia,2020,4,pertinenze,box,3963.40,definitivo
001,Torino,Piemonte,resto_provincia,2020,4,pertinenze,depositi_pertinenziali,1162.37,definitivo
001,Torino,Piemonte,resto_provincia,2020,4,residenziale,totale,5443.62,definitivo
001,Torino,Piemonte,resto_provincia,2021,1,pertinenze,box,3342.09,definitivo
001,Torino,Piemonte,resto_provincia,2021,1,pertinenze,depositi_pertinenziali,1000.00,definitivo
001,Torino,Piemonte,resto_provincia,2021,1,residenziale,totale,4433.25,definitivo
001,Torino,Piemonte,resto_provincia,2021,2,pertinenze,box,4362.82,definitivo
001,Torino,Piemonte,resto_provincia,2021,2,pertinenze,depositi_pertinenziali,1389.05,definitivo
001,Torino,Piemonte,resto_provincia,2021,2,residenziale,totale,5890.76,definitivo
001,Torino,Piemonte,resto_provincia,2021,3,pertinenze,box,3468.23,definitivo
001,Torino,Piemonte,resto_provincia,2021,3,pertinenze,depositi_pertinenziali,1183.88,definitivo
001,Torino,Piemonte,resto_provincia,2021,3,residenziale,totale,4957.17,definitivo
001,Torino,Piemonte,resto_provincia,2021,4,pertinenze,box,4658.68,definitivo
