territorio,anno,indicatore,sesso,eta,titolo_studio,cittadinanza,valore
ITC47,2023,employment rate,males,35-44 years,total,total,95.51
ITC47,2023,employment rate,males,35-49 years,total,total,95.23
ITC47,2023,employment rate,males,45-54 years,total,total,93.93
ITC47,2023,employment rate,males,50-64 years,total,total,74.88
ITC47,2023,employment rate,males,50-74 years,total,total,55.63
ITC47,2023,employment rate,males,50-89 years,total,total,45.01
ITC47,2023,employment rate,males,55-64 years,total,total,65.31
ITC47,2023,employment rate,total,15-24 years,total,total,30.15
ITC47,2023,employment rate,total,15-29 years,total,total,45.63
ITC47,2023,employment rate,total,15-34 years,total,total,54.96
ITC47,2023,employment rate,total,15-64 years,total,total,66.74
ITC47,2023,employment rate,total,15-74 years,total,total,58.11
ITC47,2023,employment rate,total,15-89 years,total,total,51.47
ITC47,2023,employment rate,total,18-29 years,total,total,56.94
ITC47,2023,employment rate,total,20-64 years,total,total,72.03
ITC47,2023,employment rate,total,25-34 years,total,total,78.80
ITC47,2023,employment rate,total,35-44 years,total,total,85.01
ITC47,2023,employment rate,total,35-49 years,total,total,84.89
ITC47,2023,employment rate,total,45-54 years,total,total,80.80
ITC47,2023,employment rate,total,50-64 years,total,total,61.71
ITC47,2023,employment rate,total,50-74 years,total,total,44.33
ITC47,2023,employment rate,total,50-89 years,total,total,34.65
ITC47,2023,employment rate,total,55-64 years,total,total,54.57
ITC47,2024,employment rate,females,15-24 years,total,total,24.96
ITC47,2024,employment rate,females,15-29 years,total,total,42.31
ITC47,2024,employment rate,females,15-34 years,total,total,51.23
ITC47,2024,employment rate,females,15-64 years,total,total,57.08
ITC47,2024,employment rate,females,15-74 years,total,total,49.21
ITC47,2024,employment rate,females,15-89 years,total,total,42.65
ITC47,2024,employment rate,females,18-29 years,total,total,54.61
ITC47,2024,employment rate,females,20-64 years,total,total,62.04
ITC47,2024,employment rate,females,25-34 years,total,total,75.56
ITC47,2024,employment rate,females,35-44 years,total,total,70.77
ITC47,2024,employment rate,females,35-49 years,total,total,72.63
ITC47,2024,employment rate,females,45-54 years,total,total,73.41
ITC47,2024,employment rate,females,50-64 years,total,total,49.11
ITC47,2024,employment rate,females,50-74 years,total,total,34.74
ITC47,2024,employment rate,females,50-89 years,total,total,26.13
ITC47,2024,employment rate,females,55-64 years,total,total,39.42
ITC47,2024,employment rate,males,15-24 years,total,total,37.62
ITC47,2024,employment rate,males,15-29 years,total,total,55.40
ITC47,2024,employment rate,males,15-34 years,total,total,64.58
ITC47,2024,employment rate,males,15-64 years,total,total,77.02
ITC47,2024,employment rate,males,15-74 years,total,total,67.72
ITC47,2024,employment rate,males,15-89 years,total,total,60.56
ITC47,2024,employment rate,males,18-29 years,total,total,66.94
ITC47,2024,employment rate,males,20-64 years,total,total,82.47
ITC47,2024,employment rate,males,25-34 years,total,total,91.04
ITC47,2024,employment rate,males,35-44 years,total,total,93.55
ITC47,2024,employment rate,males,35-49 years,total,total,94.96
ITC47,2024,employment rate,males,45-54 years,total,total,93.74
ITC47,2024,employment rate,males,50-64 years,total,total,73.31
ITC47,2024,employment rate,males,50-74 years,total,total,53.73
ITC47,2024,employment rate,males,50-89 years,total,total,42.57
ITC47,2024,employment rate,males,55-64 years,total,total,63.13
ITC47,2024,employment rate,total,15-24 years,total,total,31.61
ITC47,2024,employment rate,total,15-29 years,total,total,49.12
ITC47,2024,employment rate,total,15-34 years,total,total,58.14
ITC47,2024,employment rate,total,15-64 years,total,total,67.25
ITC47,2024,employment rate,total,15-74 years,total,total,58.57
ITC47,2024,employment rate,total,15-89 years,total,total,51.57
ITC47,2024,employment rate,total,18-29 years,total,total,61.24
ITC47,2024,employment rate,total,20-64 years,total,total,72.51
ITC47,2024,employment rate,total,25-34 years,total,total,83.47
ITC47,2024,employment rate,total,35-44 years,total,total,82.16
ITC47,2024,employment rate,total,35-49 years,total,total,83.96
ITC47,2024,employment rate,total,45-54 years,total,total,84.29
ITC47,2024,employment rate,total,50-64 years,total,total,61.33
ITC47,2024,employment rate,total,50-74 years,total,total,44.19
ITC47,2024,employment rate,total,50-89 years,total,total,34.09
ITC47,2024,employment rate,total,55-64 years,total,total,50.82
ITC47,2025,employment rate,females,15-24 years,total,total,22.98
ITC47,2025,employment rate,females,15-29 years,total,total,36.94
ITC47,2025,employment rate,females,15-34 years,total,total,44.47
ITC47,2025,employment rate,females,15-64 years,total,total,56.82
ITC47,2025,employment rate,females,15-74 years,total,total,48.84
ITC47,2025,employment rate,females,15-89 years,total,total,42.12
ITC47,2025,employment rate,females,18-29 years,total,total,47.59
ITC47,2025,employment rate,females,20-64 years,total,total,61.79
ITC47,2025,employment rate,females,25-34 years,total,total,65.48
ITC47,2025,employment rate,females,35-44 years,total,total,67.19
ITC47,2025,employment rate,females,35-49 years,total,total,71.75
ITC47,2025,employment rate,females,45-54 years,total,total,78.72
ITC47,2025,employment rate,females,50-64 years,total,total,55.33
ITC47,2025,employment rate,females,50-74 years,total,total,38.73
ITC47,2025,employment rate,females,50-89 years,total,total,28.90
ITC47,2025,employment rate,females,55-64 years,total,total,43.57
ITC47,2025,employment rate,males,15-24 years,total,total,37.39
ITC47,2025,employment rate,males,15-29 years,total,total,57.59
ITC47,2025,employment rate,males,15-34 years,total,total,66.46
ITC47,2025,employment rate,males,15-64 years,total,total,78.23
ITC47,2025,employment rate,males,15-74 years,total,total,69.04
ITC47,2025,employment rate,males,15-89 years,total,total,62.04
ITC47,2025,employment rate,males,18-29 years,total,total,70.61
ITC47,2025,employment rate,males,20-64 years,total,total,84.09
ITC47,2025,employment rate,males,25-34 years,total,total,88.94
ITC47,2025,employment rate,males,35-44 years,total,total,92.17
ITC47,2025,employment rate,males,35-49 years,total,total,95.12
ITC47,2025,employment rate,males,45-54 years,total,total,97.10
ITC47,2025,employment rate,males,50-64 years,total,total,75.82
ITC47,2025,employment rate,males,50-74 years,total,total,56.23
ITC47,2025,employment rate,males,50-89 years,total,total,45.19
ITC47,2025,employment rate,males,55-64 years,total,total,64.40
ITC47,2025,employment rate,total,15-24 years,total,total,30.11
ITC47,2025,employment rate,total,15-29 years,total,total,47.73
ITC47,2025,employment rate,total,15-34 years,total,total,56.04
ITC47,2025,employment rate,total,15-64 years,total,total,67.75
ITC47,2025,employment rate,total,15-74 years,total,total,59.07
ITC47,2025,employment rate,total,15-89 years,total,total,52.03
ITC47,2025,employment rate,total,18-29 years,total,total,59.89
ITC47,2025,employment rate,total,20-64 years,total,total,73.32
ITC47,2025,employment rate,total,25-34 years,total,total,78.46
ITC47,2025,employment rate,total,35-44 years,total,total,79.66
ITC47,2025,employment rate,total,35-49 years,total,total,83.43
ITC47,2025,employment rate,total,45-54 years,total,total,88.23
ITC47,2025,employment rate,total,50-64 years,total,total,65.69
ITC47,2025,employment rate,total,50-74 years,total,total,47.45
ITC47,2025,employment rate,total,50-89 years,total,total,36.77
ITC47,2025,employment rate,total,55-64 years,total,total,53.77
