codice_istat,comune,anno,sezione,nome_sezione,indicatore,valore
017002,Adro,2019,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",unita_locali,3
017002,Adro,2019,F,costruzioni,unita_locali,91
017002,Adro,2019,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,112
017002,Adro,2019,H,trasporto e magazzinaggio,unita_locali,10
017002,Adro,2019,I,attività dei servizi di alloggio e di ristorazione,unita_locali,35
017002,Adro,2019,J,servizi di informazione e comunicazione,unita_locali,14
017002,Adro,2019,K,attività finanziarie e assicurative,unita_locali,15
017002,Adro,2019,L,attività immobiliari,unita_locali,35
017002,Adro,2019,M,"attività professionali, scientifiche e tecniche",unita_locali,72
017002,Adro,2019,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,15
017002,Adro,2019,P,istruzione,unita_locali,6
017002,Adro,2019,Q,sanità e assistenza sociale,unita_locali,26
017002,Adro,2019,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,8
017002,Adro,2019,S,altre attività di servizi,unita_locali,27
017002,Adro,2020,C,attività manifatturiere,unita_locali,107
017002,Adro,2020,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",unita_locali,2
017002,Adro,2020,F,costruzioni,unita_locali,85
017002,Adro,2020,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,109
017002,Adro,2020,H,trasporto e magazzinaggio,unita_locali,10
017002,Adro,2020,I,attività dei servizi di alloggio e di ristorazione,unita_locali,41
017002,Adro,2020,J,servizi di informazione e comunicazione,unita_locali,13
017002,Adro,2020,K,attività finanziarie e assicurative,unita_locali,16
017002,Adro,2020,L,attività immobiliari,unita_locali,34
017002,Adro,2020,M,"attività professionali, scientifiche e tecniche",unita_locali,70
017002,Adro,2020,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,23
017002,Adro,2020,P,istruzione,unita_locali,6
017002,Adro,2020,Q,sanità e assistenza sociale,unita_locali,30
017002,Adro,2020,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,9
017002,Adro,2020,S,altre attività di servizi,unita_locali,30
017002,Adro,2021,C,attività manifatturiere,unita_locali,105
017002,Adro,2021,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",unita_locali,2
017002,Adro,2021,F,costruzioni,unita_locali,97
017002,Adro,2021,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,113
017002,Adro,2021,H,trasporto e magazzinaggio,unita_locali,10
017002,Adro,2021,I,attività dei servizi di alloggio e di ristorazione,unita_locali,35
017002,Adro,2021,J,servizi di informazione e comunicazione,unita_locali,12
017002,Adro,2021,K,attività finanziarie e assicurative,unita_locali,17
017002,Adro,2021,L,attività immobiliari,unita_locali,37
017002,Adro,2021,M,"attività professionali, scientifiche e tecniche",unita_locali,76
017002,Adro,2021,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,28
017002,Adro,2021,P,istruzione,unita_locali,6
017002,Adro,2021,Q,sanità e assistenza sociale,unita_locali,38
017002,Adro,2021,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,9
017002,Adro,2021,S,altre attività di servizi,unita_locali,31
017002,Adro,2022,C,attività manifatturiere,unita_locali,107
017002,Adro,2022,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",unita_locali,2
