codice_istat,comune,anno,classe_addetti,indicatore,valore
017007,Artogne,2018,totale,unita_locali,278
017007,Artogne,2019,0-9,unita_locali,258
017007,Artogne,2019,10-49,unita_locali,21
017007,Artogne,2019,250+,unita_locali,1
017007,Artogne,2019,50-249,unita_locali,2
017007,Artogne,2019,totale,unita_locali,282
017007,Artogne,2020,0-9,unita_locali,252
017007,Artogne,2020,10-49,unita_locali,23
017007,Artogne,2020,50-249,unita_locali,3
017007,Artogne,2020,totale,unita_locali,278
017007,Artogne,2021,0-9,unita_locali,263
017007,Artogne,2021,10-49,unita_locali,23
017007,Artogne,2021,50-249,unita_locali,2
017007,Artogne,2021,totale,unita_locali,288
017007,Artogne,2022,0-9,unita_locali,263
017007,Artogne,2022,10-49,unita_locali,25
017007,Artogne,2022,50-249,unita_locali,2
017007,Artogne,2022,totale,unita_locali,290
017007,Artogne,2023,0-9,unita_locali,274
017007,Artogne,2023,10-49,unita_locali,25
017007,Artogne,2023,50-249,unita_locali,2
017007,Artogne,2023,totale,unita_locali,301
017008,Azzano Mella,2018,0-9,addetti,389.0
017008,Azzano Mella,2018,10-49,addetti,308.5
017008,Azzano Mella,2018,50-249,addetti,117.3
017008,Azzano Mella,2018,totale,addetti,814.8
017008,Azzano Mella,2019,0-9,addetti,429.4
017008,Azzano Mella,2019,10-49,addetti,299.3
017008,Azzano Mella,2019,50-249,addetti,153.9
017008,Azzano Mella,2019,totale,addetti,882.6
017008,Azzano Mella,2020,0-9,addetti,435.0
017008,Azzano Mella,2020,10-49,addetti,311.3
017008,Azzano Mella,2020,50-249,addetti,225.0
017008,Azzano Mella,2020,totale,addetti,971.3
017008,Azzano Mella,2021,0-9,addetti,447.2
017008,Azzano Mella,2021,10-49,addetti,364.7
017008,Azzano Mella,2021,50-249,addetti,252.6
017008,Azzano Mella,2021,totale,addetti,1064.4
017008,Azzano Mella,2022,0-9,addetti,463.8
017008,Azzano Mella,2022,10-49,addetti,345.1
017008,Azzano Mella,2022,50-249,addetti,311.4
017008,Azzano Mella,2022,totale,addetti,1120.3
017008,Azzano Mella,2023,0-9,addetti,451.4
017008,Azzano Mella,2023,10-49,addetti,375.4
017008,Azzano Mella,2023,50-249,addetti,295.2
017008,Azzano Mella,2023,totale,addetti,1122.0
017008,Azzano Mella,2018,0-9,unita_locali,206
017008,Azzano Mella,2018,10-49,unita_locali,17
017008,Azzano Mella,2018,50-249,unita_locali,2
017008,Azzano Mella,2018,totale,unita_locali,225
017008,Azzano Mella,2019,0-9,unita_locali,210
017008,Azzano Mella,2019,10-49,unita_locali,15
017008,Azzano Mella,2019,50-249,unita_locali,2
017008,Azzano Mella,2019,totale,unita_locali,227
017008,Azzano Mella,2020,0-9,unita_locali,227
017008,Azzano Mella,2020,10-49,unita_locali,15
017008,Azzano Mella,2020,50-249,unita_locali,2
017008,Azzano Mella,2020,totale,unita_locali,244
017008,Azzano Mella,2021,0-9,unita_locali,227
017008,Azzano Mella,2021,10-49,unita_locali,20
017008,Azzano Mella,2021,50-249,unita_locali,2
017008,Azzano Mella,2021,totale,unita_locali,249
017008,Azzano Mella,2022,0-9,unita_locali,236
017008,Azzano Mella,2022,10-49,unita_locali,19
017008,Azzano Mella,2022,50-249,unita_locali,2
017008,Azzano Mella,2022,totale,unita_locali,257
017008,Azzano Mella,2023,0-9,unita_locali,228
017008,Azzano Mella,2023,10-49,unita_locali,18
017008,Azzano Mella,2023,50-249,unita_locali,2
017008,Azzano Mella,2023,totale,unita_locali,248
017009,Bagnolo Mella,2018,0-9,addetti,1585.3
017009,Bagnolo Mella,2018,10-49,addetti,932.8
017009,Bagnolo Mella,2018,50-249,addetti,288.2
017009,Bagnolo Mella,2018,totale,addetti,2806.3
017009,Bagnolo Mella,2019,0-9,addetti,1516.9
017009,Bagnolo Mella,2019,10-49,addetti,957.4
017009,Bagnolo Mella,2019,50-249,addetti,378.0
017009,Bagnolo Mella,2019,totale,addetti,2852.4
017009,Bagnolo Mella,2020,0-9,addetti,1567.4
017009,Bagnolo Mella,2020,10-49,addetti,777.4
017009,Bagnolo Mella,2020,50-249,addetti,450.6
017009,Bagnolo Mella,2020,totale,addetti,2795.4
017009,Bagnolo Mella,2021,0-9,addetti,1590.4
017009,Bagnolo Mella,2021,10-49,addetti,851.6
017009,Bagnolo Mella,2021,50-249,addetti,430.7
017009,Bagnolo Mella,2021,totale,addetti,2872.7
017009,Bagnolo Mella,2022,0-9,addetti,1607.7
017009,Bagnolo Mella,2022,10-49,addetti,937.7
017009,Bagnolo Mella,2022,50-249,addetti,428.4
017009,Bagnolo Mella,2022,totale,addetti,2973.8
017009,Bagnolo Mella,2023,0-9,addetti,1612.3
017009,Bagnolo Mella,2023,10-49,addetti,1013.2
017009,Bagnolo Mella,2023,50-249,addetti,396.0
017009,Bagnolo Mella,2023,totale,addetti,3021.5
017009,Bagnolo Mella,2018,0-9,unita_locali,768
017009,Bagnolo Mella,2018,10-49,unita_locali,51
017009,Bagnolo Mella,2018,50-249,unita_locali,3
017009,Bagnolo Mella,2018,totale,unita_locali,822
017009,Bagnolo Mella,2019,0-9,unita_locali,741
017009,Bagnolo Mella,2019,10-49,unita_locali,55
017009,Bagnolo Mella,2019,50-249,unita_locali,4
017009,Bagnolo Mella,2019,totale,unita_locali,800
017009,Bagnolo Mella,2020,0-9,unita_locali,771
017009,Bagnolo Mella,2020,10-49,unita_locali,45
017009,Bagnolo Mella,2020,50-249,unita_locali,5
017009,Bagnolo Mella,2020,totale,unita_locali,821
017009,Bagnolo Mella,2021,0-9,unita_locali,804
017009,Bagnolo Mella,2021,10-49,unita_locali,51
017009,Bagnolo Mella,2021,50-249,unita_locali,4
017009,Bagnolo Mella,2021,totale,unita_locali,859
017009,Bagnolo Mella,2022,0-9,unita_locali,847
017009,Bagnolo Mella,2022,10-49,unita_locali,52
017009,Bagnolo Mella,2022,50-249,unita_locali,4
017009,Bagnolo Mella,2022,totale,unita_locali,903
017009,Bagnolo Mella,2023,0-9,unita_locali,829
017009,Bagnolo Mella,2023,10-49,unita_locali,56
017009,Bagnolo Mella,2023,50-249,unita_locali,3
017009,Bagnolo Mella,2023,totale,unita_locali,888
017010,Bagolino,2018,0-9,addetti,605.7
017010,Bagolino,2018,10-49,addetti,183.4
017010,Bagolino,2018,totale,addetti,789.1
017010,Bagolino,2019,0-9,addetti,572.9
017010,Bagolino,2019,10-49,addetti,184.7
017010,Bagolino,2019,totale,addetti,757.5
017010,Bagolino,2020,0-9,addetti,579.6
017010,Bagolino,2020,10-49,addetti,178.4
017010,Bagolino,2020,totale,addetti,758.0
017010,Bagolino,2021,0-9,addetti,595.3
017010,Bagolino,2021,10-49,addetti,214.1
017010,Bagolino,2021,totale,addetti,809.4
017010,Bagolino,2022,0-9,addetti,584.4
017010,Bagolino,2022,10-49,addetti,205.2
017010,Bagolino,2022,totale,addetti,789.6
017010,Bagolino,2023,0-9,addetti,612.1
017010,Bagolino,2023,10-49,addetti,144.0
017010,Bagolino,2023,50-249,addetti,56.1
017010,Bagolino,2023,totale,addetti,812.2
017010,Bagolino,2018,0-9,unita_locali,295
017010,Bagolino,2018,10-49,unita_locali,10
017010,Bagolino,2018,totale,unita_locali,305
017010,Bagolino,2019,0-9,unita_locali,273
017010,Bagolino,2019,10-49,unita_locali,10
017010,Bagolino,2019,totale,unita_locali,283
017010,Bagolino,2020,0-9,unita_locali,285
017010,Bagolino,2020,10-49,unita_locali,10
017010,Bagolino,2020,totale,unita_locali,295
017010,Bagolino,2021,0-9,unita_locali,289
017010,Bagolino,2021,10-49,unita_locali,12
017010,Bagolino,2021,totale,unita_locali,301
017010,Bagolino,2022,0-9,unita_locali,299
017010,Bagolino,2022,10-49,unita_locali,12
017010,Bagolino,2022,totale,unita_locali,311
017010,Bagolino,2023,0-9,unita_locali,302
017010,Bagolino,2023,10-49,unita_locali,10
017010,Bagolino,2023,50-249,unita_locali,1
017010,Bagolino,2023,totale,unita_locali,313
017011,Barbariga,2018,0-9,addetti,278.1
017011,Barbariga,2018,10-49,addetti,215.0
017011,Barbariga,2018,totale,addetti,493.1
017011,Barbariga,2019,0-9,addetti,305.4
017011,Barbariga,2019,10-49,addetti,176.7
017011,Barbariga,2019,totale,addetti,482.1
017011,Barbariga,2020,0-9,addetti,305.4
017011,Barbariga,2020,10-49,addetti,118.6
017011,Barbariga,2020,totale,addetti,424.0
017011,Barbariga,2021,0-9,addetti,286.4
017011,Barbariga,2021,10-49,addetti,166.3
017011,Barbariga,2021,totale,addetti,452.8
017011,Barbariga,2022,0-9,addetti,300.8
017011,Barbariga,2022,10-49,addetti,199.0
017011,Barbariga,2022,totale,addetti,499.7
017011,Barbariga,2023,0-9,addetti,295.6
017011,Barbariga,2023,10-49,addetti,216.7
017011,Barbariga,2023,totale,addetti,512.3
017011,Barbariga,2018,0-9,unita_locali,132
017011,Barbariga,2018,10-49,unita_locali,13
017011,Barbariga,2018,totale,unita_locali,145
017011,Barbariga,2019,0-9,unita_locali,133
017011,Barbariga,2019,10-49,unita_locali,10
017011,Barbariga,2019,totale,unita_locali,143
017011,Barbariga,2020,0-9,unita_locali,137
017011,Barbariga,2020,10-49,unita_locali,7
017011,Barbariga,2020,totale,unita_locali,144
017011,Barbariga,2021,0-9,unita_locali,134
017011,Barbariga,2021,10-49,unita_locali,11
017011,Barbariga,2021,totale,unita_locali,145
017011,Barbariga,2022,0-9,unita_locali,141
017011,Barbariga,2022,10-49,unita_locali,11
017011,Barbariga,2022,totale,unita_locali,152
017011,Barbariga,2023,0-9,unita_locali,134
017011,Barbariga,2023,10-49,unita_locali,12
017011,Barbariga,2023,totale,unita_locali,146
017012,Barghe,2018,0-9,addetti,156.6
017012,Barghe,2018,10-49,addetti,92.9
017012,Barghe,2018,50-249,addetti,105.9
017012,Barghe,2018,totale,addetti,355.4
017012,Barghe,2019,0-9,addetti,138.6
017012,Barghe,2019,10-49,addetti,63.8
017012,Barghe,2019,50-249,addetti,158.4
017012,Barghe,2019,totale,addetti,360.8
017012,Barghe,2020,0-9,addetti,136.3
017012,Barghe,2020,10-49,addetti,55.5
017012,Barghe,2020,50-249,addetti,164.8
017012,Barghe,2020,totale,addetti,356.6
017012,Barghe,2021,0-9,addetti,123.0
017012,Barghe,2021,10-49,addetti,128.3
017012,Barghe,2021,50-249,addetti,114.4
017012,Barghe,2021,totale,addetti,365.7
017012,Barghe,2022,0-9,addetti,117.8
017012,Barghe,2022,10-49,addetti,92.4
017012,Barghe,2022,50-249,addetti,116.0
017012,Barghe,2022,totale,addetti,326.2
017012,Barghe,2023,0-9,addetti,111.9
017012,Barghe,2023,10-49,addetti,92.5
017012,Barghe,2023,50-249,addetti,105.0
017012,Barghe,2023,totale,addetti,309.4
017012,Barghe,2018,0-9,unita_locali,80
017012,Barghe,2018,10-49,unita_locali,4
017012,Barghe,2018,50-249,unita_locali,1
017012,Barghe,2018,totale,unita_locali,85
017012,Barghe,2019,0-9,unita_locali,74
017012,Barghe,2019,10-49,unita_locali,4
017012,Barghe,2019,50-249,unita_locali,2
017012,Barghe,2019,totale,unita_locali,80
017012,Barghe,2020,0-9,unita_locali,73
017012,Barghe,2020,10-49,unita_locali,3
017012,Barghe,2020,50-249,unita_locali,2
017012,Barghe,2020,totale,unita_locali,78
017012,Barghe,2021,0-9,unita_locali,70
017012,Barghe,2021,10-49,unita_locali,7
017012,Barghe,2021,50-249,unita_locali,1
017012,Barghe,2021,totale,unita_locali,78
017012,Barghe,2022,0-9,unita_locali,72
017012,Barghe,2022,10-49,unita_locali,6
017012,Barghe,2022,50-249,unita_locali,1
017012,Barghe,2022,totale,unita_locali,79
017012,Barghe,2023,0-9,unita_locali,67
017012,Barghe,2023,10-49,unita_locali,6
017012,Barghe,2023,50-249,unita_locali,1
017012,Barghe,2023,totale,unita_locali,74
017013,Bassano Bresciano,2018,0-9,addetti,371.9
017013,Bassano Bresciano,2018,10-49,addetti,227.7
017013,Bassano Bresciano,2018,50-249,addetti,65.7
017013,Bassano Bresciano,2018,totale,addetti,665.3
017013,Bassano Bresciano,2019,0-9,addetti,368.1
017013,Bassano Bresciano,2019,10-49,addetti,184.5
017013,Bassano Bresciano,2019,50-249,addetti,66.8
017013,Bassano Bresciano,2019,totale,addetti,619.4
017013,Bassano Bresciano,2020,0-9,addetti,304.5
017013,Bassano Bresciano,2020,10-49,addetti,228.6
017013,Bassano Bresciano,2020,50-249,addetti,67.5
017013,Bassano Bresciano,2020,totale,addetti,600.7
017013,Bassano Bresciano,2021,0-9,addetti,351.8
017013,Bassano Bresciano,2021,10-49,addetti,226.9
017013,Bassano Bresciano,2021,50-249,addetti,67.8
017013,Bassano Bresciano,2021,totale,addetti,646.5
017013,Bassano Bresciano,2022,0-9,addetti,343.6
017013,Bassano Bresciano,2022,10-49,addetti,261.3
017013,Bassano Bresciano,2022,50-249,addetti,64.0
017013,Bassano Bresciano,2022,totale,addetti,668.8
017013,Bassano Bresciano,2023,0-9,addetti,358.0
017013,Bassano Bresciano,2023,10-49,addetti,244.7
017013,Bassano Bresciano,2023,50-249,addetti,61.3
017013,Bassano Bresciano,2023,totale,addetti,664.0
017013,Bassano Bresciano,2018,0-9,unita_locali,164
017013,Bassano Bresciano,2018,10-49,unita_locali,11
017013,Bassano Bresciano,2018,50-249,unita_locali,1
017013,Bassano Bresciano,2018,totale,unita_locali,176
017013,Bassano Bresciano,2019,0-9,unita_locali,162
017013,Bassano Bresciano,2019,10-49,unita_locali,9
017013,Bassano Bresciano,2019,50-249,unita_locali,1
017013,Bassano Bresciano,2019,totale,unita_locali,172
017013,Bassano Bresciano,2020,0-9,unita_locali,162
017013,Bassano Bresciano,2020,10-49,unita_locali,13
017013,Bassano Bresciano,2020,50-249,unita_locali,1
017013,Bassano Bresciano,2020,totale,unita_locali,176
017013,Bassano Bresciano,2021,0-9,unita_locali,173
017013,Bassano Bresciano,2021,10-49,unita_locali,12
017013,Bassano Bresciano,2021,50-249,unita_locali,1
017013,Bassano Bresciano,2021,totale,unita_locali,186
017013,Bassano Bresciano,2022,0-9,unita_locali,174
017013,Bassano Bresciano,2022,10-49,unita_locali,13
017013,Bassano Bresciano,2022,50-249,unita_locali,1
017013,Bassano Bresciano,2022,totale,unita_locali,188
017013,Bassano Bresciano,2023,0-9,unita_locali,181
017013,Bassano Bresciano,2023,10-49,unita_locali,11
017013,Bassano Bresciano,2023,50-249,unita_locali,1
017013,Bassano Bresciano,2023,totale,unita_locali,193
017014,Bedizzole,2018,0-9,addetti,1697.5
