codice_istat,comune,anno,tavola,indicatore,ownership_type,numb_room,use_floor_spacegroup,heating_system_type,access_building,type_of_building,valore
017011,Barbariga,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,146
017011,Barbariga,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,899
017011,Barbariga,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,15
017011,Barbariga,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,785
017011,Barbariga,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,100
017011,Barbariga,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,900
017011,Barbariga,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,918
017012,Barghe,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,637
017012,Barghe,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,455
017012,Barghe,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,182
017012,Barghe,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,636
017012,Barghe,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,457
017012,Barghe,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,179
017012,Barghe,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,635
017012,Barghe,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,465
017012,Barghe,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,170
017012,Barghe,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,455
017012,Barghe,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,25
017012,Barghe,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,383
017012,Barghe,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,47
017012,Barghe,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,457
017012,Barghe,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,465
017013,Bassano Bresciano,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1059
017013,Bassano Bresciano,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,857
017013,Bassano Bresciano,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,202
017013,Bassano Bresciano,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1066
017013,Bassano Bresciano,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,884
017013,Bassano Bresciano,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,182
017013,Bassano Bresciano,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1076
017013,Bassano Bresciano,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,881
017013,Bassano Bresciano,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,195
017013,Bassano Bresciano,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,857
017013,Bassano Bresciano,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,29
