territorio,nome_territorio,anno,ateco,settore,indicatore,valore
017029,Brescia,2023,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,addetti,214.7
017029,Brescia,2023,22,manufacture of rubber and plastic products,addetti,284.9
017029,Brescia,2023,23,manufacture of other non-metallic mineral products,addetti,253.5
017029,Brescia,2023,24,manufacture of basic metals,addetti,1725.6
017029,Brescia,2023,25,"manufacture of fabricated metal products, except machinery and equipment",addetti,1823.9
017029,Brescia,2023,26,"manufacture of computer, electronic and optical products",addetti,444.8
017029,Brescia,2023,27,manufacture of electrical equipment and of non-electric domestic appliances,addetti,887.4
017029,Brescia,2023,28,manufacture of machinery and equipment n.e.c.,addetti,3132.5
017029,Brescia,2023,29,"manufacture of motor vehicles, trailers and semi-trailers",addetti,1724.9
017029,Brescia,2023,30,manufacture of other transport equipment,addetti,47.6
017029,Brescia,2023,31,manufacture of furniture,addetti,63.4
017029,Brescia,2023,32,other manufacturing,addetti,312.0
017029,Brescia,2023,33,repair and installation of machinery and equipment,addetti,553.1
017029,Brescia,2023,35,"electricity, gas, steam and air conditioning supply",addetti,1203.3
017029,Brescia,2023,36,"water collection, treatment and supply",addetti,286.8
017029,Brescia,2023,37,sewerage,addetti,6.0
017029,Brescia,2023,38,"waste collection, treatment and disposal activities, materials recovery",addetti,1380.5
