territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shop robbery,SHOPROB,13.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shoplifting,SHOPTHEF,213.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",smuggling,SMUGGL,0.70
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",street robbery,STREETROB,25.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",swindles and cyber frauds,SWINCYB,202.90
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",terrorist homicides,TERRORHOM,0.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",thefts,THEFT,2949.40
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",total,TOT,5479.40
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of cargo trucks carrying freights,TRUCKTHEF,4.50
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",unintentional homicides,UNINTHOM,8.50
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",usury,USURY,0.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft from vehicle,VEHITHEF,528.90
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",arson,ARSON,10.80
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of art objets,ARTTHEF,1.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attacks,ATTACK,1.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attempted homicides,ATTEMPHOM,3.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bag-snatching,BAGTHEF,18.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bank robbery,BANKROB,6.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",blows,BLOWS,39.30
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",burglary,BURGTHEF,356.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",car theft,CARTHEF,227.90
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",corruption of a minor,CORRUPUN18,0.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",counterfeiting of goods and industrial products,COUNTER,1.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",criminal association,CRIMASS,1.20
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",culpable injuries,CULPINJU,121.30
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",cybercrime,CYBERCRIM,26.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damages,DAMAGE,962.20
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damage followed by arson,DAMARS,7.70
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",trafficking and drugs possession,DRUG,72.80
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",extortions,EXTORT,8.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",forest arson,FOREARS,2.60
