codice_istat,comune,anno,semestre,fascia,zona,link_zona,tipologia,stato,stato_prevalente,vendita_min,vendita_max,base_vendita,affitto_min,affitto_max,base_affitto
017001,Acquafredda,2012,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,980,1200,lorda,2.9,3.6,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,880,1100,lorda,2.6,3.4,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1100,1500,lorda,3.1,4.2,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Autorimesse,NORMALE,P,460,580,lorda,1.8,2.3,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Box,NORMALE,P,510,700,lorda,1.9,2.4,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,360,450,lorda,1.4,1.6,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,260,330,lorda,1.0,1.2,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2013,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,1000,1350,lorda,2.9,3.6,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,880,1100,lorda,2.6,3.4,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1100,1500,lorda,3.1,4.2,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Autorimesse,NORMALE,P,460,580,lorda,1.8,2.3,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Box,NORMALE,P,510,700,lorda,1.9,2.4,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
