codice_istat,comune,anno,semestre,tipologia,mercato,base_superficie,zone,minimo,massimo,media
017001,Acquafredda,2016,2,Posti auto scoperti,affitto,netta,1,0.9,1.1,1.0
017001,Acquafredda,2016,2,Posti auto scoperti,vendita,lorda,1,250,320,285
017001,Acquafredda,2016,2,Uffici,affitto,netta,1,3.1,4.7,3.9
017001,Acquafredda,2016,2,Uffici,vendita,lorda,1,880,1150,1015
017001,Acquafredda,2016,2,Ville e Villini,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2016,2,Ville e Villini,vendita,lorda,1,970,1300,1135
017001,Acquafredda,2017,2,Abitazioni civili,affitto,netta,1,2.3,3.1,2.7
017001,Acquafredda,2017,2,Abitazioni civili,vendita,lorda,1,850,1050,950
017001,Acquafredda,2017,2,Autorimesse,affitto,netta,1,1.6,2.1,1.9
017001,Acquafredda,2017,2,Autorimesse,vendita,lorda,1,445,560,502
017001,Acquafredda,2017,2,Box,affitto,netta,1,1.7,2.2,2.0
017001,Acquafredda,2017,2,Box,vendita,lorda,1,495,680,588
017001,Acquafredda,2017,2,Capannoni industriali,affitto,netta,1,1.7,2.3,2.0
017001,Acquafredda,2017,2,Capannoni industriali,vendita,lorda,1,350,440,395
017001,Acquafredda,2017,2,Capannoni tipici,affitto,netta,1,2.4,3.3,2.8
017001,Acquafredda,2017,2,Capannoni tipici,vendita,lorda,1,410,520,465
017001,Acquafredda,2017,2,Laboratori,affitto,netta,1,2.8,3.5,3.1
017001,Acquafredda,2017,2,Laboratori,vendita,lorda,1,470,560,515
017001,Acquafredda,2017,2,Magazzini,affitto,netta,1,1.8,2.5,2.1
017001,Acquafredda,2017,2,Magazzini,vendita,lorda,1,330,430,380
017001,Acquafredda,2017,2,Negozi,affitto,netta,1,5.0,6.3,5.7
017001,Acquafredda,2017,2,Negozi,vendita,lorda,1,950,1200,1075
017001,Acquafredda,2017,2,Posti auto coperti,affitto,netta,1,1.3,1.4,1.4
017001,Acquafredda,2017,2,Posti auto coperti,vendita,lorda,1,350,435,392
017001,Acquafredda,2017,2,Posti auto scoperti,affitto,netta,1,0.9,1.1,1.0
017001,Acquafredda,2017,2,Posti auto scoperti,vendita,lorda,1,250,320,285
017001,Acquafredda,2017,2,Uffici,affitto,netta,1,3.1,4.7,3.9
017001,Acquafredda,2017,2,Uffici,vendita,lorda,1,880,1150,1015
017001,Acquafredda,2017,2,Ville e Villini,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2017,2,Ville e Villini,vendita,lorda,1,970,1300,1135
