codice_istat,comune,anno,tavola,indicatore,num_memb,num_fr_menb,valore
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,28
017002,Adro,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,216
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,57
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,57
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,23
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,19
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,42
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,22
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,6
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,18
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,46
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,36
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,5
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,9
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,36
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,86
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,138
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,30
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,27
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,36
017002,Adro,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,231
017002,Adro,2020,tutte,famiglie al 31 dicembre,1,totale,837
017002,Adro,2020,tutte,famiglie al 31 dicembre,2,totale,871
017002,Adro,2020,tutte,famiglie al 31 dicembre,3,totale,599
017002,Adro,2020,tutte,famiglie al 31 dicembre,4,totale,460
017002,Adro,2020,tutte,famiglie al 31 dicembre,5,totale,115
017002,Adro,2020,tutte,famiglie al 31 dicembre,6 e più,totale,42
017002,Adro,2020,tutte,famiglie al 31 dicembre,totale,totale,2924
017002,Adro,2021,tutte,famiglie al 31 dicembre,1,totale,827
017002,Adro,2021,tutte,famiglie al 31 dicembre,2,totale,872
017002,Adro,2021,tutte,famiglie al 31 dicembre,3,totale,624
017002,Adro,2021,tutte,famiglie al 31 dicembre,4,totale,452
017002,Adro,2021,tutte,famiglie al 31 dicembre,5,totale,116
017002,Adro,2021,tutte,famiglie al 31 dicembre,6 e più,totale,42
017002,Adro,2021,tutte,famiglie al 31 dicembre,totale,totale,2933
017002,Adro,2022,tutte,famiglie al 31 dicembre,1,totale,843
017002,Adro,2022,tutte,famiglie al 31 dicembre,2,totale,905
017002,Adro,2022,tutte,famiglie al 31 dicembre,3,totale,600
017002,Adro,2022,tutte,famiglie al 31 dicembre,4,totale,450
017002,Adro,2022,tutte,famiglie al 31 dicembre,5,totale,117
017002,Adro,2022,tutte,famiglie al 31 dicembre,6 e più,totale,38
017002,Adro,2022,tutte,famiglie al 31 dicembre,totale,totale,2953
017002,Adro,2023,tutte,famiglie al 31 dicembre,1,totale,874
017002,Adro,2023,tutte,famiglie al 31 dicembre,2,totale,905
017002,Adro,2023,tutte,famiglie al 31 dicembre,3,totale,603
017002,Adro,2023,tutte,famiglie al 31 dicembre,4,totale,439
017002,Adro,2023,tutte,famiglie al 31 dicembre,5,totale,115
017002,Adro,2023,tutte,famiglie al 31 dicembre,6 e più,totale,39
017002,Adro,2023,tutte,famiglie al 31 dicembre,totale,totale,2975
